plot_id,cotton_px
plotid_3209,18551
plotid_3210,25383
plotid_3300,13679
plotid_3301,14791
plotid_3302,12658
plotid_3303,20963
plotid_3304,14083
plotid_3305,24037
plotid_3306,22585
plotid_3307,24467
plotid_3308,17951
plotid_3309,18524
plotid_3310,30526
plotid_3400,19620
plotid_3401,8781
plotid_3402,11913
plotid_3403,22861
plotid_3404,9159
plotid_3405,9047
plotid_3406,17681
plotid_3407,22839
plotid_3408,17993
plotid_3409,50089
plotid_3410,26069
plotid_3500,11178
plotid_3501,17056
plotid_3502,10099
plotid_3503,12585
plotid_3504,22370
plotid_3505,10613
plotid_3506,9795
plotid_3507,15767
plotid_3508,13404
plotid_3509,25198
plotid_3510,24722
plotid_3600,16451
plotid_3601,13323
plotid_3602,8106
plotid_3603,12704
plotid_3604,21102
plotid_3605,16072
plotid_3606,15137
plotid_3607,16536
plotid_3608,20465
plotid_3609,8431
plotid_3610,26931
plotid_3700,5825
plotid_3701,12257
plotid_3702,8148
plotid_3703,17358
plotid_3704,19513
plotid_3705,15313
plotid_3706,18062
plotid_3707,18940
plotid_3708,20439
plotid_3709,14672
plotid_3710,23000
plotid_3800,3637
plotid_3801,4098
plotid_3802,3557
plotid_3803,6238
plotid_3804,16728
plotid_3805,9809
plotid_3806,19945
plotid_3807,31790
plotid_3808,22024
plotid_3809,14536
plotid_3810,28948
plotid_3900,6741
plotid_3901,4719
plotid_3902,6439
plotid_3903,4090
plotid_3904,13085
plotid_3905,10305
plotid_3906,20182
plotid_3907,8528
plotid_3908,18646
plotid_3909,20714
plotid_3910,19698
plotid_4000,8106
plotid_4001,23090
plotid_4002,16723
plotid_4003,10194
plotid_4004,11434
plotid_4005,13416
plotid_4006,18378
plotid_4007,13056
plotid_4008,8698
plotid_4009,22010
plotid_4010,35680
plotid_4100,8585
plotid_4101,20510
plotid_4102,14116
plotid_4103,4964
plotid_4104,12944
plotid_4105,15419
plotid_4106,20376
plotid_4107,4952
plotid_4108,16121
plotid_4109,11510
plotid_4110,29268
plotid_4200,28780
plotid_4201,30980
plotid_4202,23501
plotid_4203,10043
plotid_4204,13536
plotid_4205,11804
plotid_4206,14702
plotid_4207,18463
plotid_4208,12494
plotid_4209,28816
plotid_4210,34809
plotid_4300,9764
plotid_4301,15897
plotid_4302,11887
plotid_4303,385
plotid_4304,14556
plotid_4305,18096
plotid_4306,13388
plotid_4307,14165
plotid_4308,14745
plotid_4309,13179
plotid_4310,28912
plotid_4400,17904
plotid_4401,7049
plotid_4402,11056
plotid_4403,6805
plotid_4404,11910
plotid_4405,29274
plotid_4406,8960
plotid_4407,16070
plotid_4408,17220
plotid_4409,11662
plotid_4410,20740
plotid_4500,24854
plotid_4501,11110
plotid_4502,4834
plotid_4503,7340
plotid_4504,17568
plotid_4505,3995
plotid_4506,20441
plotid_4507,7123
plotid_4508,12496
plotid_4509,12303
plotid_4510,12799
plotid_4600,22464
plotid_4601,2953
plotid_4602,5704
plotid_4603,6814
plotid_4604,3627
plotid_4605,9332
plotid_4606,6995
plotid_4607,9749
plotid_4608,437
plotid_4609,1903
plotid_4610,12097
plotid_605,12560
plotid_606,10752
plotid_607,18589
plotid_608,14647
plotid_609,17819
plotid_610,3885
plotid_701,25655
plotid_702,12173
plotid_703,14549
plotid_704,11348
plotid_705,17626
plotid_706,33121
plotid_707,31914
plotid_708,13141
plotid_709,14046
plotid_710,7050
plotid_801,33350
plotid_802,18546
plotid_803,35090
plotid_804,10629
plotid_805,18932
plotid_806,14132
plotid_807,16351
plotid_808,5735
plotid_809,13604
plotid_810,547
plotid_901,23284
plotid_902,19759
plotid_903,27694
plotid_904,10683
plotid_905,21126
plotid_906,11364
plotid_907,9049
plotid_908,4622
plotid_909,5497
plotid_910,257
